PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,NewFEN,NewMoves,PGNText
052aq,r7/2k3p1/1np1p2p/1p2p3/1P2P3/1R2N2P/1K1R1PP1/r1N5 w - - 7 32,c1d3 a8a2 b2c3 b6a4,1578,74,99,2196,master mate mateIn2 middlegame short,https://lichess.org/LtenGgBI#63,,r7/2k3p1/1np1p2p/1p2p3/1P2P3/1R1NN2P/1K1R1PP1/r7 b - - 7 32,a8a2 b2c3 b6a4,[Event "Mate in 2\\https://lichess.org/LtenGgBI#63"][FEN "r7/2k3p1/1np1p2p/1p2p3/1P2P3/1R1NN2P/1K1R1PP1/r7 b - - 7 32"]1. a8 {a8a2 b2c3 b6a4 (0-1)}  *
052ay,3k2r1/p1p1np2/QBp4p/3pP3/6q1/2N2N2/PP3P1K/R4R2 w - - 3 24,f1g1 g4h5 f3h4 h5h4,1483,80,76,62,fork mate mateIn2 middlegame short,https://lichess.org/oRE5pInb#47,,3k2r1/p1p1np2/QBp4p/3pP3/6q1/2N2N2/PP3P1K/R7 b - - 3 24,g4h5 f3h4 h5h4,[Event "Mate in 2\\https://lichess.org/oRE5pInb#47"][FEN "3k2r1/p1p1np2/QBp4p/3pP3/6q1/2N2N2/PP3P1K/R7 b - - 3 24"]1. g4 {g4h5 f3h4 h5h4 (0-1)}  *
052fH,8/6p1/6Rp/4N1n1/1r6/4P1kP/6P1/6K1 w - - 3 46,e5d3 b4b1 d3e1 b1e1,888,185,54,8,endgame mate mateIn2 short,https://lichess.org/sTRrM40O#91,,8/6p1/6Rp/6n1/1r6/3NP1kP/6P1/6K1 b - - 3 46,b4b1 d3e1 b1e1,[Event "Mate in 2\\https://lichess.org/sTRrM40O#91"][FEN "8/6p1/6Rp/6n1/1r6/3NP1kP/6P1/6K1 b - - 3 46"]1. b4 {b4b1 d3e1 b1e1 (0-1)}  *
052iW,r6r/pQ3pp1/2pk1q1p/3b4/P2P4/1p3P2/1B4PP/R3R1K1 b - - 0 32,h8b8 b2a3 c6c5 d4c5,1388,79,67,60,mate mateIn2 middlegame short,https://lichess.org/HGj890T6/black#64,,r7/pQ3pp1/2pk1q1p/3b4/P2P4/1p3P2/1B4PP/R3R1K1 w - - 0 32,b2a3 c6c5 d4c5,[Event "Mate in 2\\https://lichess.org/HGj890T6/black#64"][FEN "r7/pQ3pp1/2pk1q1p/3b4/P2P4/1p3P2/1B4PP/R3R1K1 w - - 0 32"]1. b2 {b2a3 c6c5 d4c5 (1-0)} *
052is,2r3k1/1p4pp/6P1/2R2P1P/b7/P2R2K1/2n5/8 b - - 6 44,c8c5 d3d8 a4e8 d8e8,432,116,91,581,endgame mate mateIn2 short,https://lichess.org/1aGtp5jU/black#88,,6k1/1p4pp/6P1/2r2P1P/b7/P2R2K1/2n5/8 w - - 6 44,d3d8 a4e8 d8e8,[Event "Mate in 2\\https://lichess.org/1aGtp5jU/black#88"][FEN "6k1/1p4pp/6P1/2r2P1P/b7/P2R2K1/2n5/8 w - - 6 44"]1. d3 {d3d8 a4e8 d8e8 (1-0)} *
052j3,1k1rr3/p4ppp/2qN4/P1B5/8/2P1Q3/P4PPP/RN4K1 w - - 5 25,d6e8 d8d1 e3e1 d1e1,867,78,97,2614,mate mateIn2 middlegame short,https://lichess.org/AZJm0MY6#49,,1k1rN3/p4ppp/2q5/P1B5/8/2P1Q3/P4PPP/RN4K1 b - - 5 25,d8d1 e3e1 d1e1,[Event "Mate in 2\\https://lichess.org/AZJm0MY6#49"][FEN "1k1rN3/p4ppp/2q5/P1B5/8/2P1Q3/P4PPP/RN4K1 b - - 5 25"]1. d8 {d8d1 e3e1 d1e1 (0-1)}  *
053Os,5rk1/6p1/3PP2p/1B4p1/2P5/P1n5/6PP/3R2K1 w - - 1 33,d1f1 c3e2 g1h1 f8f1,835,78,89,210,backRankMate deflection endgame mate mateIn2 short,https://lichess.org/h97DFIXe#65,,5rk1/6p1/3PP2p/1B4p1/2P5/P1n5/6PP/6K1 b - - 1 33,c3e2 g1h1 f8f1,[Event "Mate in 2\\https://lichess.org/h97DFIXe#65"][FEN "5rk1/6p1/3PP2p/1B4p1/2P5/P1n5/6PP/6K1 b - - 1 33"]1. c3 {c3e2 g1h1 f8f1 (0-1)}  *
053a0,3r2k1/2p2ppp/1p2p3/3P4/2P5/1P2Q2P/2q2PP1/4R1K1 b - - 0 24,e6d5 e3e8 d8e8 e1e8,1212,93,56,79,backRankMate endgame mate mateIn2 sacrifice short,https://lichess.org/Wb1hlb9U/black#48,,3r2k1/2p2ppp/1p6/3p4/2P5/1P2Q2P/2q2PP1/4R1K1 w - - 0 24,e3e8 d8e8 e1e8,[Event "Mate in 2\\https://lichess.org/Wb1hlb9U/black#48"][FEN "3r2k1/2p2ppp/1p6/3p4/2P5/1P2Q2P/2q2PP1/4R1K1 w - - 0 24"]1. e3 {e3e8 d8e8 e1e8 (1-0)} *
053f9,6kR/pp2qpb1/2prr3/4PQp1/3P2P1/5P2/PP6/2K4R b - - 1 27,g7h8 f5h7 g8f8 h7h8,867,79,100,165,deflection endgame mate mateIn2 short,https://lichess.org/dGOI1hm5/black#54,,6kb/pp2qp2/2prr3/4PQp1/3P2P1/5P2/PP6/2K4R w - - 1 27,f5h7 g8f8 h7h8,[Event "Mate in 2\\https://lichess.org/dGOI1hm5/black#54"][FEN "6kb/pp2qp2/2prr3/4PQp1/3P2P1/5P2/PP6/2K4R w - - 1 27"]1. f5 {f5h7 g8f8 h7h8 (1-0)} *
053wO,3rr1k1/2p1np1p/p5p1/1p1R3q/1P3b2/P4N1P/BB2QPP1/4R1K1 b - - 0 23,e7d5 e2e8 d8e8 e1e8,855,120,82,35,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/bdxLagBj/black#46,,3rr1k1/2p2p1p/p5p1/1p1n3q/1P3b2/P4N1P/BB2QPP1/4R1K1 w - - 0 23,e2e8 d8e8 e1e8,[Event "Mate in 2\\https://lichess.org/bdxLagBj/black#46"][FEN "3rr1k1/2p2p1p/p5p1/1p1n3q/1P3b2/P4N1P/BB2QPP1/4R1K1 w - - 0 23"]1. e2 {e2e8 d8e8 e1e8 (1-0)} *
